code	display_name
78853000	Salmonella II 1,40:g,t:1,5 (organism)
83479005	Salmonella II 1,40:g,t:e,n,x (organism)
114742007	Salmonella II 1,40:g,t:e,n,x,z15 (organism)
47008007	Salmonella II 1,40:g,t:z42 (organism)
114748006	Salmonella II 1,40:k:e,n,x,z15 (organism)
114753001	Salmonella II 1,40:l,z28:1,5:z42 (organism)
114754007	Salmonella II 1,40:l,z28:z39 (organism)
31832006	Salmonella II 1,40:m,t:z42 (organism)
114755008	Salmonella II 1,40:z:1,5 (organism)
114756009	Salmonella II 1,40:z:z39 (organism)
24239004	Salmonella II 1,40:z:z6 (organism)
114760007	Salmonella II 1,40:z35:e,n,x,z15 (organism)
114763009	Salmonella II 1,40:z39:1,5:z42 (organism)
114764003	Salmonella II 1,40:z39:1,6 (organism)
114767005	Salmonella II 1,40:z42:1,6 (organism)
15839003	Salmonella II 1,40:z6:1,5 (organism)
114801001	Salmonella II 1,42:l,w:e,n,x (organism)
86097004	Salmonella II 1,42:l,z13,z28:z6 (organism)
3210007	Salmonella II 1,44:e,n,x:1,6 (organism)
114842003	Salmonella II 1,44:z39:e,n,x,z15 (organism)
37339002	Salmonella II 1,53:d:z39 (organism)
114981004	Salmonella II 1,59:z:z6 (organism)
46818008	Salmonella II 1,6,14:k:z6,z42 (organism)
114379008	Salmonella II 1,6,14:m,t:1,5 (organism)
114388004	Salmonella II 1,6,14:z10:1,5 (organism)
114390003	Salmonella II 1,6,14:z10:z6:z42 (organism)
40280008	Salmonella II 1,6,14:z42:1,6 (organism)
38211003	Salmonella II 1,9,12,(46),27:l,z13,z28:z39 (organism)
59727006	Salmonella II 1,9,12,(46),27:y:z39 (organism)
61227007	Salmonella II 1,9,12,(46),27:z10:e,n,x (organism)
8077009	Salmonella II 1,9,12,(46),27:z10:z39 (organism)
14642002	Salmonella II 1,9,12,(46),27:z4,z24:1,5 (organism)
114612004	Salmonella II 1,9,12,46,27:a:z6 (organism)
114613009	Salmonella II 1,9,12,46,27:c:z39 (organism)
398465000	Salmonella II 1,9,12,46,27:z10:1,5 (organism)
398414008	Salmonella II 1,9,12:a:e,n,x (organism)
114565004	Salmonella II 1,9,12:a:z42 (organism)
114566003	Salmonella II 1,9,12:b:e,n,x (organism)
114568002	Salmonella II 1,9,12:b:z39 (organism)
114567007	Salmonella II 1,9,12:b:z6 (organism)
302660006	Salmonella II 1,9,12:g,m,[s],t:[1,5,7]:[z42] (organism)
114575001	Salmonella II 1,9,12:g,m,s,t:e,n,x (organism)
114577009	Salmonella II 1,9,12:g,z62:[e,n,x] (organism)
114595007	Salmonella II 1,9,12:l,w:e,n,x (organism)
114578004	Salmonella II 1,9,12:m,t:1,5 (organism)
114579007	Salmonella II 1,9,12:m,t:z39 (organism)
114583007	Salmonella II 1,9,12:y:z39 (organism)
114584001	Salmonella II 1,9,12:z:1,7 (organism)
114585000	Salmonella II 1,9,12:z:z6 (organism)
57636007	Salmonella II 1,9,12:z29:e,n,x (organism)
114593000	Salmonella II 1,9,12:z39:1,7 (organism)
302665001	Salmonella II 1,9,12:z42:1,[5],7 (organism)
114738009	Salmonella II 1.40:e,n,x :1,[5],7 (organism)
19857008	Salmonella II 11:-:1,5 (organism)
114314008	Salmonella II 11:a:d:e,n,z15 (organism)
114316005	Salmonella II 11:a:z6:z42 (organism)
114320009	Salmonella II 11:c:e,n,z15 (organism)
114325004	Salmonella II 11:g,[m],s,t:z39 (organism)
114335005	Salmonella II 11:l,z28:e,n,x (organism)
114328002	Salmonella II 11:m,t:e,n,x (organism)
114339004	Salmonella II 11:z:e,n,x (organism)
114340002	Salmonella II 11:z:z39 (organism)
36819002	Salmonella II 13,22:k:1,5:z42 (organism)
68541006	Salmonella II 13,22:l,z28:1,5 (organism)
114356007	Salmonella II 13,22:m,t:z42:z39 (organism)
114365000	Salmonella II 13,22:z:- (organism)
114369006	Salmonella II 13,22:z29:1,5 (organism)
114370007	Salmonella II 13,22:z29:e,n,x (organism)
114371006	Salmonella II 13,22:z39:1,7 (organism)
38171004	Salmonella II 13,23:-:1,6 (organism)
36702005	Salmonella II 13,23:d:e,n,x (organism)
53501002	Salmonella II 13,23:k:z41 (organism)
114360005	Salmonella II 13,23:l,w:e,n,x (organism)
72414009	Salmonella II 13,23:l,z28:1,5 (organism)
72539003	Salmonella II 13,23:l,z28:z6 (organism)
404249008	Salmonella II 16 g,[m],[s],t:[e,n,x] (organism)
16049005	Salmonella II 16:b:z39 (organism)
19890008	Salmonella II 16:b:z42 (organism)
35053007	Salmonella II 16:d:1,5 (organism)
114396009	Salmonella II 16:e,n,x:1,(5),7 (organism)
114397000	Salmonella II 16:e,n,x:1,6:z42 (organism)
114398005	Salmonella II 16:g,[m],[s],t:[1,5]:[z42] (organism)
404262007	Salmonella II 16:g,t:1,5 (organism)
114423007	Salmonella II 16:l,w:z6 (organism)
114405004	Salmonella II 16:l,z28:z42 (organism)
114401008	Salmonella II 16:m,t:[z42] (organism)
34328008	Salmonella II 16:m,t:e,n,x (organism)
114409005	Salmonella II 16:z:e,n,x (organism)
84205008	Salmonella II 16:z:z42 (organism)
114415005	Salmonella II 16:z29:1,5 (organism)
114416006	Salmonella II 16:z29:e,n,x (organism)
114418007	Salmonella II 16:z35:e,n,x (organism)
114420005	Salmonella II 16:z36:e,n,z15 (organism)
114410000	Salmonella II 16:z4,z23:- (organism)
114412008	Salmonella II 16:z4,z24:- (organism)
114422002	Salmonella II 16:z42:1,(5),7 (organism)
114424001	Salmonella II 16:z42:1,6 (organism)
77117002	Salmonella II 16:z6:1,6 (organism)
114426004	Salmonella II 17:b:e,n,x,z15 (organism)
112312008	Salmonella II 17:b:z6 (organism)
114640009	Salmonella II 17:c:z39 (organism)
114430001	Salmonella II 17:e,n,x,z15:1,[5],7 (organism)
114429006	Salmonella II 17:e,n,x,z15:1,6 (organism)
114431002	Salmonella II 17:g,m,s,t:- (organism)
114433004	Salmonella II 17:g,t:[e,n,x,z15] (organism)
47887000	Salmonella II 17:g,t:z39 (organism)
114436007	Salmonella II 17:k:- (organism)
69247002	Salmonella II 17:y:- (organism)
114440003	Salmonella II 17:z:1,7 (organism)
